ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9922707,HY112081,01/09/2015 10:00:00 PM,037XX W DIVISION ST,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESIDENCE,false,false,1112,011,27,23,26,1151037,1907696,2015,01/16/2015 12:48:48 PM,41.90260844,-87.720658025,"(41.90260844, -87.720658025)"
9921289,HY110467,01/09/2015 10:00:00 PM,074XX N ASHLAND BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2422,024,49,1,07,1164459,1949222,2015,01/16/2015 12:48:48 PM,42.016283982,-87.670176285,"(42.016283982, -87.670176285)"
9920747,HY109516,01/09/2015 10:00:00 PM,108XX S EBERHART AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,true,false,0513,005,9,49,05,1181546,1833039,2015,01/16/2015 12:48:48 PM,41.697090679,-87.610898973,"(41.697090679, -87.610898973)"
9920668,HY109501,01/09/2015 09:58:00 PM,006XX N AUSTIN BLVD,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,false,false,1511,015,29,25,04B,1136293,1903888,2015,01/16/2015 12:48:48 PM,41.892434989,-87.774907069,"(41.892434989, -87.774907069)"
9920886,HY109804,01/09/2015 09:57:00 PM,028XX W 64TH ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,false,false,0823,008,15,66,26,1158617,1862041,2015,01/16/2015 12:48:48 PM,41.777174002,-87.694063451,"(41.777174002, -87.694063451)"
9920763,HY109496,01/09/2015 09:55:00 PM,030XX N HAMLIN AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,2523,025,30,21,04B,1150569,1919765,2015,01/16/2015 12:48:48 PM,41.935736029,-87.722061091,"(41.935736029, -87.722061091)"
9920664,HY109491,01/09/2015 09:50:00 PM,113XX S ABERDEEN ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,2234,022,34,75,18,1170978,1829692,2015,01/16/2015 12:48:48 PM,41.688142708,-87.649690116,"(41.688142708, -87.649690116)"
9920663,HY109525,01/09/2015 09:48:00 PM,027XX W MADISON ST,5011,OTHER OFFENSE,LICENSE VIOLATION,SMALL RETAIL STORE,false,false,1222,012,2,27,26,1157881,1899941,2015,01/16/2015 12:48:48 PM,41.881191142,-87.695730426,"(41.881191142, -87.695730426)"
9920637,HY109487,01/09/2015 09:35:00 PM,038XX W FERDINAND ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1122,011,27,23,18,1150376,1903017,2015,01/16/2015 12:48:48 PM,41.889781714,-87.72320823,"(41.889781714, -87.72320823)"
9920649,HY109511,01/09/2015 09:35:00 PM,0000X S KEELER AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,1115,011,28,26,24,1148359,1899504,2015,01/16/2015 12:48:48 PM,41.880180767,-87.730706195,"(41.880180767, -87.730706195)"
